start.1,salesman.7,Venta,client.90,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.90,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Prestamo,client.284,end.1,Pago Posterior,Terminada
start.1,salesman.4,Retiro,client.199,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.285,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.3,end.1,Pago Contra Entrega,Terminada
start.1,salesman.15,Venta,client.41,end.1,Pago Posterior,Terminada
start.1,salesman.5,Retiro,client.117,end.1,Pago Contra Entrega,Terminada
start.1,salesman.4,Venta,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.5,Prestamo,client.277,end.1,Pago Posterior,Terminada
start.1,salesman.15,Venta,client.268,end.1,Pago Posterior,Terminada
start.1,salesman.14,Prestamo,client.286,end.1,Pago Posterior,Terminada
start.1,salesman.16,Soporte,client.3,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.287,end.1,Pago ya Efectuado,Terminada
start.1,salesman.5,Venta,client.111,end.1,Pago Contra Entrega,Terminada
start.1,salesman.15,Retiro,client.275,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.79,end.1,Pago Contra Entrega,Terminada
start.1,salesman.14,Soporte,client.238,end.1,Pago ya Efectuado,Terminada
start.1,salesman.15,Prestamo,client.288,end.1,Pago Posterior,Terminada
start.1,salesman.15,Venta,client.41,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.68,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.199,end.1,Pago Posterior,Terminada
start.1,salesman.14,Prestamo,client.289,end.1,Pago Posterior,Terminada
start.1,salesman.7,Retiro,client.262,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.3,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.148,end.1,Pago Contra Entrega,Terminada
start.1,salesman.4,Soporte,client.27,end.1,Pago Posterior,Terminada
start.1,salesman.7,Retiro,client.30,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.38,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.86,end.1,Pago Contra Entrega,Terminada
